model,craft_missing_not_attempted,execution_errors_total,tasks_failed_total,tasks_with_only_failed_gear_calculation,tasks_with_both_calc_craft,tasks_with_only_failed_craft,tasks_with_wrong_code_format
gpt4.1_mini,443,305,83.9,7.2,55.0,6.7,11.1
qwen3_32b,605,1075,98.3,5.0,77.2,7.2,7.2
grok-4,20,4,8.3,2.8,1.7,0.6,2.8
gemini-2.5-flash,208,251,73.9,17.8,30.6,7.8,10.6
deepseek-v3,653,246,92.8,16.7,68.3,5.0,1.7
DeepSeek-R1-Distill-Llama-70B,429,245,86.7,11.1,41.7,6.7,26.7
o3_high,146,32,39.4,21.7,7.8,7.8,1.1
qwen3-235b-a22,366,366,87.8,9.4,45.0,2.8,27.2
gemini-2.5-pro,147,18,37.8,22.2,7.8,1.1,1.7
kimi-k2,555,197,91.7,17.8,53.9,1.1,18.3
gpt-4.1,264,138,68.3,26.1,32.2,3.3,2.2
magistral-medium-2506-thinking,354,244,90.6,16.1,32.8,2.8,36.7
gpt-5,34,15,16.1,8.3,1.1,5.6,0.6
deepseek-r1-0528,431,218,78.3,19.4,39.4,4.4,12.2
claude-sonnet-4,515,744,82.8,0.6,60.6,3.3,16.1
qwen3_32b_think,558,851,90.0,9.4,70.6,5.6,3.3
o4-mini_high,326,67,65.0,22.8,22.2,3.9,14.4
qwen3-235b-a22b-thinking-2507,386,264,77.8,13.9,36.7,2.2,22.2
gpt-5-mini,285,57,65.0,29.4,15.6,2.8,15.0
qwen3_8b_think,616,470,96.1,5.6,78.9,7.8,2.8
gpt-oss-120b,353,524,91.1,12.2,34.4,3.9,40.6
claude-sonnet-4_think,275,59,55.6,24.4,21.7,3.9,3.3
gigachat-2-max,619,307,97.2,17.2,61.1,5.6,11.7
qwen3_8b,521,406,100.0,8.9,67.8,10.6,12.8
